,cent,entropy
0,0,202.39555323
1,1,161.75699885
2,2,153.36456313
3,3,146.62375966
4,4,140.4227425
5,5,134.6134838
6,6,129.23486979
7,7,124.12259291
8,8,119.21458993
9,9,114.4913685
10,10,110.07929943
11,11,105.79394458
12,12,101.68611841
13,13,97.748675373
14,14,93.999934058
15,15,90.342328906
16,16,86.860945782
17,17,83.547450506
18,18,80.299771765
19,19,77.150256788
20,20,74.108989266
21,21,71.181767463
22,22,68.331868372
23,23,65.611452629
24,24,62.949939081
25,25,60.426190077
26,26,57.989128234
27,27,55.632354632
28,28,53.308712878
29,29,51.131148559
30,30,49.014348839
31,31,46.929655575
32,32,44.929199191
33,33,43.000791833
34,34,41.139169873
35,35,39.311678396
36,36,37.509782217
37,37,35.814623005
38,38,34.160091839
39,39,32.565718562
40,40,31.058501608
41,41,29.549991848
42,42,28.125025803
43,43,26.775461447
44,44,25.448789038
45,45,24.185035923
46,46,22.957720926
47,47,21.759394096
48,48,20.625941298
49,49,19.52239992
50,50,18.461750733
51,51,17.464073554
52,52,16.481643774
53,53,15.559823426
54,54,14.661100624
55,55,13.808576099
56,56,12.989172221
57,57,12.20338257
58,58,11.43843526
59,59,10.720709863
60,60,10.049729848
61,61,9.4086457346
62,62,8.7839312444
63,63,8.1876031709
64,64,7.6276075735
65,65,7.1006574597
66,66,6.5998147184
67,67,6.1305142226
68,68,5.6840907864
69,69,5.2592346089
70,70,4.8563495138
71,71,4.4843972185
72,72,4.1288507074
73,73,3.7966215142
74,74,3.4841892139
75,75,3.1961601812
76,76,2.9278427152
77,77,2.6740245705
78,78,2.4459966778
79,79,2.2268483742
80,80,2.020276933
81,81,1.8321968912
82,82,1.6568635422
83,83,1.4973070319
84,84,1.3471689784
85,85,1.2057478294
86,86,1.0741285222
87,87,0.95346131733
88,88,0.84331828317
89,89,0.74028252694
90,90,0.64420804165
91,91,0.55524766912
92,92,0.47209932451
93,93,0.39639605649
94,94,0.32718638216
95,95,0.2624891244
96,96,0.20385650151
97,97,0.14967758295
98,98,0.099141280626
99,99,0.052570226053
100,100,9.2765287193e-05
